[GIN] 2026/03/14 - 02:39:44 | 200 |     12.2268ms |       127.0.0.1 | POST     "/rooms/945456/start?player_id=508"
[GIN] 2026/03/14 - 02:39:44 | 200 |      3.7666ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:44 | 200 |     10.9149ms |       127.0.0.1 | GET      "/ws/945456?player_id=508"
[GIN] 2026/03/14 - 02:39:44 | 200 |      1.0191ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:44 | 200 |      4.5115ms |       127.0.0.1 | GET      "/ws/945456?player_id=509"
[GIN] 2026/03/14 - 02:39:46 | 200 |      8.8274ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:39:48 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/52/submit"
[GIN] 2026/03/14 - 02:39:48 | 200 |      5.2434ms |       127.0.0.1 | POST     "/rounds/52/submit"
[GIN] 2026/03/14 - 02:39:48 | 200 |      4.4981ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:48 | 200 |       745.9µs |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:49 | 200 |      5.5239ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:39:51 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/53/submit"
[GIN] 2026/03/14 - 02:39:51 | 200 |      6.2256ms |       127.0.0.1 | POST     "/rounds/53/submit"
[GIN] 2026/03/14 - 02:39:51 | 200 |      1.5079ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:51 | 200 |       507.4µs |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:52 | 200 |     12.3899ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:39:54 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/54/submit"
[GIN] 2026/03/14 - 02:39:54 | 200 |      9.2232ms |       127.0.0.1 | POST     "/rounds/54/submit"
[GIN] 2026/03/14 - 02:39:54 | 200 |      1.8435ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:54 | 200 |       795.5µs |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:55 | 200 |      6.2916ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:39:57 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/55/submit"
[GIN] 2026/03/14 - 02:39:57 | 200 |      9.5432ms |       127.0.0.1 | POST     "/rounds/55/submit"
[GIN] 2026/03/14 - 02:39:57 | 200 |      3.7799ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:57 | 200 |      2.3494ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:39:59 | 200 |      6.9776ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
[GIN] 2026/03/14 - 02:40:01 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/56/submit"
[GIN] 2026/03/14 - 02:40:01 | 200 |     18.5443ms |       127.0.0.1 | POST     "/rounds/56/submit"
[GIN] 2026/03/14 - 02:40:01 | 200 |       540.4µs |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:01 | 200 |       1.589ms |       127.0.0.1 | GET      "/rooms/945456"
[GIN] 2026/03/14 - 02:40:02 | 200 |     10.9705ms |       127.0.0.1 | POST     "/rooms/945456/round/start?player_id=508"
